accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF318VNP	CG18764	directAnnotation	gene is directly annotated	ENCFF318VNP	ENCFF318VNP	ENCFF318VNP	chip	2.0	CG18764	0	None	None	1	None	None
ENCFF514TWZ	CG18764	directAnnotation	gene is directly annotated	ENCFF514TWZ	ENCFF514TWZ	ENCFF514TWZ	chip	2.0	CG18764	0	None	None	1	None	None
ENCFF784QPJ	CG18764	directAnnotation	gene is directly annotated	ENCFF784QPJ	ENCFF784QPJ	ENCFF784QPJ	chip	2.0	CG18764	0	None	None	1	None	None
ENCFF712MQQ	CG18764	directAnnotation	gene is directly annotated	ENCFF712MQQ	ENCFF712MQQ	ENCFF712MQQ	chip	2.0	CG18764	0	None	None	1	None	None
ENCFF609XYM	Stat92E	directAnnotation	gene is directly annotated	ENCFF609XYM	ENCFF609XYM	ENCFF609XYM	chip	2.0	Stat92E	0	None	None	1	None	None
ENCFF873KIF	Stat92E	directAnnotation	gene is directly annotated	ENCFF873KIF	ENCFF873KIF	ENCFF873KIF	chip	2.0	Stat92E	0	None	None	1	None	None
ENCFF238NYX	Stat92E	directAnnotation	gene is directly annotated	ENCFF238NYX	ENCFF238NYX	ENCFF238NYX	chip	2.0	Stat92E	0	None	None	1	None	None
ENCFF355OZQ	CG11504	directAnnotation	gene is directly annotated	ENCFF355OZQ	ENCFF355OZQ	ENCFF355OZQ	chip	2.0	CG11504	0	None	None	1	None	None
ENCFF851GND	CG11504	directAnnotation	gene is directly annotated	ENCFF851GND	ENCFF851GND	ENCFF851GND	chip	2.0	CG11504	0	None	None	1	None	None
ENCFF696TJO	CG11504	directAnnotation	gene is directly annotated	ENCFF696TJO	ENCFF696TJO	ENCFF696TJO	chip	2.0	CG11504	0	None	None	1	None	None
ENCFF241PEJ	CG11504	directAnnotation	gene is directly annotated	ENCFF241PEJ	ENCFF241PEJ	ENCFF241PEJ	chip	2.0	CG11504	0	None	None	1	None	None
ENCFF271XUJ	pad	directAnnotation	gene is directly annotated	ENCFF271XUJ	ENCFF271XUJ	ENCFF271XUJ	chip	2.0	pad	0	None	None	1	None	None
ENCFF473BNN	pad	directAnnotation	gene is directly annotated	ENCFF473BNN	ENCFF473BNN	ENCFF473BNN	chip	2.0	pad	0	None	None	1	None	None
ENCFF306OIB	pad	directAnnotation	gene is directly annotated	ENCFF306OIB	ENCFF306OIB	ENCFF306OIB	chip	2.0	pad	0	None	None	1	None	None
ENCFF409AJI	pad	directAnnotation	gene is directly annotated	ENCFF409AJI	ENCFF409AJI	ENCFF409AJI	chip	2.0	pad	0	None	None	1	None	None
ENCFF306RPN	pum	directAnnotation	gene is directly annotated	ENCFF306RPN	ENCFF306RPN	ENCFF306RPN	chip	2.0	pum	0	None	None	1	None	None
ENCFF772POT	pum	directAnnotation	gene is directly annotated	ENCFF772POT	ENCFF772POT	ENCFF772POT	chip	2.0	pum	0	None	None	1	None	None
ENCFF943RKC	pum	directAnnotation	gene is directly annotated	ENCFF943RKC	ENCFF943RKC	ENCFF943RKC	chip	2.0	pum	0	None	None	1	None	None
ENCFF919MMC	CG32006	directAnnotation	gene is directly annotated	ENCFF919MMC	ENCFF919MMC	ENCFF919MMC	chip	2.0	CG32006	0	None	None	1	None	None
ENCFF468SDN	CG32006	directAnnotation	gene is directly annotated	ENCFF468SDN	ENCFF468SDN	ENCFF468SDN	chip	2.0	CG32006	0	None	None	1	None	None
ENCFF081UNW	CG32006	directAnnotation	gene is directly annotated	ENCFF081UNW	ENCFF081UNW	ENCFF081UNW	chip	2.0	CG32006	0	None	None	1	None	None
ENCFF995SBQ	CG32006	directAnnotation	gene is directly annotated	ENCFF995SBQ	ENCFF995SBQ	ENCFF995SBQ	chip	2.0	CG32006	0	None	None	1	None	None
ENCFF546ZKS	B-H2	directAnnotation	gene is directly annotated	ENCFF546ZKS	ENCFF546ZKS	ENCFF546ZKS	chip	2.0	B-H2	0	None	None	1	None	None
ENCFF332VTR	B-H2	directAnnotation	gene is directly annotated	ENCFF332VTR	ENCFF332VTR	ENCFF332VTR	chip	2.0	B-H2	0	None	None	1	None	None
ENCFF184TRA	B-H2	directAnnotation	gene is directly annotated	ENCFF184TRA	ENCFF184TRA	ENCFF184TRA	chip	2.0	B-H2	0	None	None	1	None	None
ENCFF939JNA	Kah	directAnnotation	gene is directly annotated	ENCFF939JNA	ENCFF939JNA	ENCFF939JNA	chip	2.0	Kah	0	None	None	1	None	None
ENCFF214BUI	Kah	directAnnotation	gene is directly annotated	ENCFF214BUI	ENCFF214BUI	ENCFF214BUI	chip	2.0	Kah	0	None	None	1	None	None
ENCFF829PQV	Kah	directAnnotation	gene is directly annotated	ENCFF829PQV	ENCFF829PQV	ENCFF829PQV	chip	2.0	Kah	0	None	None	1	None	None
ENCFF070UME	CG33557	directAnnotation	gene is directly annotated	ENCFF070UME	ENCFF070UME	ENCFF070UME	chip	2.0	CG33557	0	None	None	1	None	None
ENCFF218YUA	CG33557	directAnnotation	gene is directly annotated	ENCFF218YUA	ENCFF218YUA	ENCFF218YUA	chip	2.0	CG33557	0	None	None	1	None	None
ENCFF149SRT	CG33557	directAnnotation	gene is directly annotated	ENCFF149SRT	ENCFF149SRT	ENCFF149SRT	chip	2.0	CG33557	0	None	None	1	None	None
ENCFF243ZAQ	CG4617	directAnnotation	gene is directly annotated	ENCFF243ZAQ	ENCFF243ZAQ	ENCFF243ZAQ	chip	2.0	CG4617	0	None	None	1	None	None
ENCFF353HKP	CG4617	directAnnotation	gene is directly annotated	ENCFF353HKP	ENCFF353HKP	ENCFF353HKP	chip	2.0	CG4617	0	None	None	1	None	None
ENCFF645LFL	CG4617	directAnnotation	gene is directly annotated	ENCFF645LFL	ENCFF645LFL	ENCFF645LFL	chip	2.0	CG4617	0	None	None	1	None	None
ENCFF924QZW	CG4617	directAnnotation	gene is directly annotated	ENCFF924QZW	ENCFF924QZW	ENCFF924QZW	chip	2.0	CG4617	0	None	None	1	None	None
ENCFF393LGU	Clk	directAnnotation	gene is directly annotated	ENCFF393LGU	ENCFF393LGU	ENCFF393LGU	chip	2.0	Clk	0	None	None	1	None	None
ENCFF109ULA	Clk	directAnnotation	gene is directly annotated	ENCFF109ULA	ENCFF109ULA	ENCFF109ULA	chip	2.0	Clk	0	None	None	1	None	None
ENCFF775HGE	Clk	directAnnotation	gene is directly annotated	ENCFF775HGE	ENCFF775HGE	ENCFF775HGE	chip	2.0	Clk	0	None	None	1	None	None
ENCFF837HZO	MESR4	directAnnotation	gene is directly annotated	ENCFF837HZO	ENCFF837HZO	ENCFF837HZO	chip	2.0	MESR4	0	None	None	1	None	None
ENCFF053LIO	MESR4	directAnnotation	gene is directly annotated	ENCFF053LIO	ENCFF053LIO	ENCFF053LIO	chip	2.0	MESR4	0	None	None	1	None	None
ENCFF121BVJ	MESR4	directAnnotation	gene is directly annotated	ENCFF121BVJ	ENCFF121BVJ	ENCFF121BVJ	chip	2.0	MESR4	0	None	None	1	None	None
ENCFF587KRS	kni	directAnnotation	gene is directly annotated	ENCFF587KRS	ENCFF587KRS	ENCFF587KRS	chip	2.0	kni	0	None	None	1	None	None
ENCFF571NWQ	kni	directAnnotation	gene is directly annotated	ENCFF571NWQ	ENCFF571NWQ	ENCFF571NWQ	chip	2.0	kni	0	None	None	1	None	None
ENCFF516YXK	kni	directAnnotation	gene is directly annotated	ENCFF516YXK	ENCFF516YXK	ENCFF516YXK	chip	2.0	kni	0	None	None	1	None	None
ENCFF783IYB	kni	directAnnotation	gene is directly annotated	ENCFF783IYB	ENCFF783IYB	ENCFF783IYB	chip	2.0	kni	0	None	None	1	None	None
ENCFF853YPE	Hr4	directAnnotation	gene is directly annotated	ENCFF853YPE	ENCFF853YPE	ENCFF853YPE	chip	2.0	Hr4	0	None	None	1	None	None
ENCFF035IWC	Hr4	directAnnotation	gene is directly annotated	ENCFF035IWC	ENCFF035IWC	ENCFF035IWC	chip	2.0	Hr4	0	None	None	1	None	None
ENCFF199UMM	Hr4	directAnnotation	gene is directly annotated	ENCFF199UMM	ENCFF199UMM	ENCFF199UMM	chip	2.0	Hr4	0	None	None	1	None	None
ENCFF482SJC	Hr4	directAnnotation	gene is directly annotated	ENCFF482SJC	ENCFF482SJC	ENCFF482SJC	chip	2.0	Hr4	0	None	None	1	None	None
ENCFF345SKR	tin	directAnnotation	gene is directly annotated	ENCFF345SKR	ENCFF345SKR	ENCFF345SKR	chip	2.0	tin	0	None	None	1	None	None
ENCFF403UCA	tin	directAnnotation	gene is directly annotated	ENCFF403UCA	ENCFF403UCA	ENCFF403UCA	chip	2.0	tin	0	None	None	1	None	None
ENCFF220PFA	tin	directAnnotation	gene is directly annotated	ENCFF220PFA	ENCFF220PFA	ENCFF220PFA	chip	2.0	tin	0	None	None	1	None	None
ENCFF922ZZM	tin	directAnnotation	gene is directly annotated	ENCFF922ZZM	ENCFF922ZZM	ENCFF922ZZM	chip	2.0	tin	0	None	None	1	None	None
ENCFF511BTH	bigmax	directAnnotation	gene is directly annotated	ENCFF511BTH	ENCFF511BTH	ENCFF511BTH	chip	2.0	bigmax	0	None	None	1	None	None
ENCFF342YPC	bigmax	directAnnotation	gene is directly annotated	ENCFF342YPC	ENCFF342YPC	ENCFF342YPC	chip	2.0	bigmax	0	None	None	1	None	None
ENCFF967NCF	bigmax	directAnnotation	gene is directly annotated	ENCFF967NCF	ENCFF967NCF	ENCFF967NCF	chip	2.0	bigmax	0	None	None	1	None	None
ENCFF253CBR	Lhr	directAnnotation	gene is directly annotated	ENCFF253CBR	ENCFF253CBR	ENCFF253CBR	chip	2.0	Lhr	0	None	None	1	None	None
ENCFF610YPM	Lhr	directAnnotation	gene is directly annotated	ENCFF610YPM	ENCFF610YPM	ENCFF610YPM	chip	2.0	Lhr	0	None	None	1	None	None
ENCFF387ARR	Lhr	directAnnotation	gene is directly annotated	ENCFF387ARR	ENCFF387ARR	ENCFF387ARR	chip	2.0	Lhr	0	None	None	1	None	None
